sentence1,sentence2,score
"Validates the completeness and accuracy of the customer's submitted order. Checks for any discrepancies or missing information in the order details.","Confirms whether an order is valid by checking required customer data and order items.",1.0
"Sends a confirmation email to the recipient about the order status. Updates the order status to reflect the confirmation email has been sent.","Sends a confirmation email to the customer after an order is completed.",1.0
"Searches for valid payment methods to confirm order payment. Updates inventory levels based on the confirmed order payment status.","Confirms whether a customer's payment has succeeded.",1.0
"Updates inventory levels based on the items in the completed order. Verifies that the updated inventory levels are accurate and up-to-date.","Reduces inventory levels for each purchased item after a successful payment.",1.0
"Updates inventory levels based on the items in the completed order. Verifies that the updated inventory levels are accurate and up-to-date.","Confirms whether a customer's payment has succeeded.",0.0
"Updates inventory levels based on the items in the completed order. Verifies that the updated inventory levels are accurate and up-to-date.","Sends a confirmation email to the customer after an order is completed.",0.0
"Sends a confirmation email to the recipient about the order status. Updates the order status to reflect the confirmation email has been sent.","Reduces inventory levels for each purchased item after a successful payment.",0.0
"Validates the completeness and accuracy of the customer's submitted order. Checks for any discrepancies or missing information in the order details.","Confirms whether a customer's payment has succeeded.",0.0
"Closes the return case after refund processing and customer communication are completed. Updates the final return status and stores completion timestamp.","Closes a return case after refund and communication steps are completed by updating its status and timestamp.",1
"Generates a prepaid shipping label for the eligible return request. Stores the label tracking number and sends the label reference to the customer.","Generates a prepaid return shipping label tracking number for an eligible return case.",1
"Calculates the final refund amount by subtracting fees from the original paid amount. Updates the return case with the calculated refund total.","Calculating the final refund amount for a returned item deducts approved fees from the paid amount and updates the case status to REFUND_CALCULATED.",1
"Sends a customer notification explaining return decision, refund amount, and expected processing time. Stores the notification delivery result in the return case.","Sends a notification to a customer regarding the status of their return request, including a refund update if applicable.",1
"Validates whether the return request is within the allowed return period for the order. Updates the request status as eligible or rejected based on purchase date and policy limit.","This code determines whether a return request for a purchased item is within the allowed return policy period by checking if the request date is within a specified time frame from the purchase date.",1
"Restores returned items to available inventory when inspection confirms resellability. Updates stock quantity and inventory status for the product.","Restores a restockable item to inventory by updating the product's stock quantity and marking the case as restored.",1
"Issues the approved refund to the original payment method. Updates payment records with refund reference, amount, and status.","Issues a refund to a customer by updating the status of a payment case and generating a unique refund reference.",1
"Verifies that the return request belongs to the original order's customer. Confirms customer identity before proceeding with the return process.","This code verifies the ownership of an order by checking if the customer who placed the order matches the customer associated with a return case, and updates the case status accordingly.",1
"Inspect returned item checks the condition of the returned book. It records inspection status, damage notes, and restock eligibility.","This code determines whether a returned book can be restocked based on its condition, updating its status and inspection notes accordingly.",1
"Rejects a return request when it's outside policy or ownership cannot be verified. Updates case status and records rejection reason in the system.","Rejecting a return request for a book by marking it as ineligible and storing a clear rejection reason.",1
"Calculates the final refund amount by subtracting fees from the original paid amount. Updates the return case with the calculated refund total.","Initiates a return request for a customer's order by creating a new case with a unique identifier and associated details.",0
"Close return case after refund processing and customer communication are completed.","This code determines whether a return request for a purchased item is within the allowed return policy period.",0
"Generates a prepaid shipping label for the eligible return request.","This code verifies the ownership of an order by checking if the customer who placed the order matches the customer associated with a return case.",0
"Inspect returned item checks the condition of the returned book and records inspection status.","Calculates a seller quality penalty from marketplace performance metrics based on late shipments and damaged returns.",0
"Restores returned items to available inventory when inspection confirms resellability.","When a product is returned, this code recommends alternative products that can be resold by filtering out the original product and its identical counterparts.",0
"Issues the approved refund to the original payment method.","Generates a prepaid return shipping label tracking number for an eligible return case.",0
"Validates whether the return request is within the allowed return period for the order.","Closes a return case after refund and communication steps are completed by updating its status and timestamp.",0
"Sends a customer notification explaining return decision, refund amount, and expected processing time.","Restores a restockable item to inventory by updating the product's stock quantity and marking the case as restored.",0
"Rejects a return request when it's outside policy or ownership cannot be verified.","Initiates a return request for a customer's order by creating a new case with a unique identifier and associated details.",0
